Brand,Description,VendorNo,VendorName,Total_Qty_Sold,Total_Revenue,Unit_Cost,Total_COGS,Gross_Profit
18721,Hermanos Malbec-Tannat,653,STATE WINE & SPIRITS   ,12,167.88,9.39,112.68,55.19999999999999
18732,Anarkos Puglia,653,STATE WINE & SPIRITS   ,24,299.76,8.44,202.56,97.19999999999999
18774,Rob Stuart Vignette Pinot Nr,653,STATE WINE & SPIRITS   ,142,3636.58,17.23,2446.66,1189.92
18976,Evolucio Fermint Tokaj,653,STATE WINE & SPIRITS   ,105,1131.95,8.05,845.2500000000001,286.69999999999993
19084,Zolo Chard Unoaked,653,STATE WINE & SPIRITS   ,4,55.96,9.26,37.04,18.92
19087,Lagar de Bezana Cab Svgn Rsv,653,STATE WINE & SPIRITS   ,1,13.99,9.2,9.2,4.790000000000001
19088,Lagar de Bezana Aluvion Red,653,STATE WINE & SPIRITS   ,12,343.88,17.53,210.36,133.51999999999998
19091,Gen5 Cabernet Sauvignon,653,STATE WINE & SPIRITS   ,96,1127.04,7.79,747.84,379.19999999999993
19092,Gen5 Chardonnay,653,STATE WINE & SPIRITS   ,5,54.95,7.23,36.150000000000006,18.799999999999997
19240,Black Cabra Torrontes,653,STATE WINE & SPIRITS   ,1,9.99,6.45,6.45,3.54
19258,The Beach House Chard,653,STATE WINE & SPIRITS   ,2875,28987.25,6.45,18543.75,10443.5
19259,The Beach House Red,653,STATE WINE & SPIRITS   ,48,503.52,7.48,359.04,144.47999999999996
19260,The Beach House Pinot Grigio,653,STATE WINE & SPIRITS   ,5258,51982.42,6.45,33914.1,18068.32
19276,Pali Tower 15 The Winery,653,STATE WINE & SPIRITS   ,2725,38122.75,9.08,24743.0,13379.75
19652,Alias Chard,653,STATE WINE & SPIRITS   ,53,582.47,6.07,321.71000000000004,260.76
19653,Alias Cab Svgn,653,STATE WINE & SPIRITS   ,83,912.17,5.88,488.04,424.12999999999994
19654,Manifesto! Znfdl,653,STATE WINE & SPIRITS   ,5,64.95,7.38,36.9,28.050000000000004
19655,Manifesto! Svgn Bl,653,STATE WINE & SPIRITS   ,12,131.88,7.38,88.56,43.31999999999999
19656,Manifesto! Chard No Cst,653,STATE WINE & SPIRITS   ,506,4548.94,5.91,2990.46,1558.4799999999996
19657,Manifesto! Cab Svgn,653,STATE WINE & SPIRITS   ,52,675.48,7.23,375.96000000000004,299.52
19732,Rib Shack Red,653,STATE WINE & SPIRITS   ,36,395.64,7.38,265.68,129.95999999999998
19925,Green Lip Svgn Bl,653,STATE WINE & SPIRITS   ,12,143.88,8.21,98.52000000000001,45.359999999999985
